date,open,high,low,close,volume
2023-01-30,542.0000,543.0000,534.0000,543.0000,124428936.0000
2023-01-31,537.0000,538.0000,521.0000,522.0000,72530854.0000
2023-02-01,532.0000,533.0000,522.0000,530.0000,33710990.0000
2023-02-02,538.0000,542.0000,537.0000,540.0000,43077053.0000
2023-02-03,540.0000,542.0000,536.0000,542.0000,31635865.0000
2023-02-06,532.0000,533.0000,526.0000,526.0000,30870136.0000
2023-02-07,524.0000,528.0000,522.0000,523.0000,23481767.0000
2023-02-08,538.0000,540.0000,534.0000,540.0000,35096191.0000
2023-02-09,540.0000,540.0000,536.0000,540.0000,18861972.0000
2023-02-10,544.0000,546.0000,541.0000,545.0000,28495684.0000
2023-02-13,544.0000,544.0000,538.0000,541.0000,22768977.0000
2023-02-14,544.0000,546.0000,543.0000,545.0000,21883297.0000
2023-02-15,526.0000,532.0000,522.0000,525.0000,61796793.0000
2023-02-16,528.0000,531.0000,524.0000,528.0000,29975138.0000
2023-02-17,524.0000,524.0000,516.0000,518.0000,28121975.0000
2023-02-20,514.0000,519.0000,511.0000,517.0000,20065156.0000
2023-02-21,515.0000,517.0000,513.0000,516.0000,13504100.0000
2023-02-22,506.0000,509.0000,505.0000,507.0000,24575245.0000
2023-02-23,512.0000,521.0000,510.0000,518.0000,25376835.0000
2023-02-24,524.0000,525.0000,511.0000,511.0000,41692491.0000
2023-03-01,504.0000,522.0000,504.0000,522.0000,39560848.0000
2023-03-02,519.0000,520.0000,515.0000,519.0000,16558784.0000
2023-03-03,524.0000,525.0000,516.0000,516.0000,23253895.0000
2023-03-06,520.0000,524.0000,517.0000,521.0000,21922085.0000
2023-03-07,521.0000,526.0000,519.0000,524.0000,24861078.0000
2023-03-08,521.0000,523.0000,518.0000,521.0000,24512408.0000
2023-03-09,525.0000,526.0000,522.0000,522.0000,21557577.0000
2023-03-10,515.0000,516.0000,511.0000,513.0000,24045605.0000
2023-03-13,513.0000,518.0000,509.0000,516.0000,21466947.0000
2023-03-14,511.0000,514.0000,510.0000,510.0000,20474770.0000
2023-03-15,515.0000,516.0000,510.0000,511.0000,23208597.0000
2023-03-16,505.0000,510.0000,504.0000,505.0000,21965994.0000
2023-03-17,516.0000,518.0000,513.0000,518.0000,33118483.0000
2023-03-20,517.0000,518.0000,510.0000,512.0000,11837312.0000
2023-03-21,515.0000,517.0000,512.0000,517.0000,18284799.0000
2023-03-22,524.0000,533.0000,524.0000,533.0000,42385987.0000
2023-03-23,528.0000,539.0000,528.0000,538.0000,26728246.0000
2023-03-24,536.0000,539.0000,535.0000,539.0000,21926240.0000
2023-03-27,533.0000,536.0000,531.0000,531.0000,16111177.0000
2023-03-28,525.0000,530.0000,524.0000,525.0000,17234120.0000
2023-03-29,533.0000,533.0000,525.0000,530.0000,17280749.0000
2023-03-30,536.0000,537.0000,531.0000,535.0000,19201564.0000
2023-03-31,538.0000,538.0000,532.0000,533.0000,23558838.0000
2023-04-06,530.0000,531.0000,526.0000,530.0000,25423363.0000
2023-04-07,535.0000,535.0000,529.0000,531.0000,8557482.0000
2023-04-10,533.0000,533.0000,528.0000,529.0000,7435151.0000
2023-04-11,522.0000,527.0000,522.0000,524.0000,22675697.0000
2023-04-12,523.0000,524.0000,517.0000,520.0000,23816473.0000
2023-04-13,515.0000,517.0000,510.0000,510.0000,25536889.0000
2023-04-14,516.0000,520.0000,513.0000,516.0000,18072504.0000
2023-04-17,519.0000,520.0000,514.0000,520.0000,14634287.0000
2023-04-18,518.0000,520.0000,514.0000,515.0000,15168888.0000
2023-04-19,517.0000,518.0000,509.0000,510.0000,21123233.0000
2023-04-20,512.0000,516.0000,510.0000,513.0000,17221961.0000
2023-04-21,520.0000,520.0000,510.0000,511.0000,25016683.0000
2023-04-24,505.0000,510.0000,504.0000,507.0000,16886512.0000
2023-04-25,504.0000,505.0000,498.0000,498.0000,36898412.0000
2023-04-26,498.0000,498.5000,491.0000,491.5000,31269245.0000
2023-04-27,491.0000,495.0000,489.0000,493.5000,29537148.0000
2023-04-28,498.5000,502.0000,498.0000,502.0000,24824100.0000
2023-05-02,500.0000,502.0000,496.5000,501.0000,15325791.0000
2023-05-03,496.0000,498.0000,495.0000,496.0000,11369311.0000
2023-05-04,497.0000,499.5000,496.0000,498.0000,13140291.0000
2023-05-05,500.0000,502.0000,498.5000,500.0000,7488897.0000
2023-05-08,509.0000,509.0000,502.0000,504.0000,11243634.0000
2023-05-09,507.0000,510.0000,505.0000,510.0000,16197743.0000
2023-05-10,508.0000,508.0000,500.0000,503.0000,18859212.0000
2023-05-11,506.0000,506.0000,498.5000,499.0000,13382927.0000
2023-05-12,496.0000,500.0000,495.0000,496.0000,18465362.0000
2023-05-15,497.0000,499.5000,494.5000,495.5000,13315766.0000
2023-05-16,503.0000,508.0000,500.0000,505.0000,21140315.0000
2023-05-17,508.0000,521.0000,506.0000,519.0000,41406763.0000
2023-05-18,533.0000,536.0000,526.0000,530.0000,43096277.0000
2023-05-19,535.0000,535.0000,529.0000,532.0000,32099068.0000
2023-05-22,532.0000,533.0000,529.0000,531.0000,17208135.0000
2023-05-23,530.0000,531.0000,525.0000,530.0000,19588873.0000
2023-05-24,527.0000,528.0000,524.0000,525.0000,19086681.0000
2023-05-25,542.0000,545.0000,537.0000,543.0000,63827245.0000
2023-05-26,568.0000,568.0000,563.0000,566.0000,95808471.0000
2023-05-29,574.0000,574.0000,564.0000,568.0000,54657853.0000
2023-05-30,566.0000,568.0000,563.0000,566.0000,40136130.0000
2023-05-31,560.0000,562.0000,551.0000,558.0000,81176782.0000
2023-06-01,550.0000,554.0000,550.0000,551.0000,24477529.0000
2023-06-02,559.0000,564.0000,557.0000,562.0000,30206141.0000
2023-06-05,560.0000,560.0000,555.0000,555.0000,16827391.0000
2023-06-06,554.0000,562.0000,553.0000,560.0000,20228086.0000
2023-06-07,561.0000,568.0000,560.0000,568.0000,27604813.0000
2023-06-08,562.0000,568.0000,555.0000,559.0000,23080195.0000
2023-06-09,561.0000,566.0000,561.0000,565.0000,19091713.0000
2023-06-12,574.0000,574.0000,571.0000,574.0000,26392389.0000
2023-06-13,593.0000,594.0000,589.0000,593.0000,56174363.0000
2023-06-14,590.0000,591.0000,587.0000,590.0000,23583314.0000
2023-06-15,590.0000,593.0000,587.0000,591.0000,27392154.0000
2023-06-16,590.0000,590.0000,584.0000,589.0000,38128802.0000
2023-06-19,583.0000,585.0000,582.0000,583.0000,14346885.0000
2023-06-20,579.0000,585.0000,579.0000,583.0000,16221413.0000
2023-06-21,582.0000,585.0000,578.0000,581.0000,21703937.0000
2023-06-26,576.0000,578.0000,574.0000,574.0000,27142262.0000
2023-06-27,570.0000,575.0000,569.0000,572.0000,21501718.0000
2023-06-28,579.0000,579.0000,571.0000,574.0000,18175426.0000
2023-06-29,578.0000,580.0000,570.0000,573.0000,16937929.0000
2023-06-30,570.0000,576.0000,568.0000,576.0000,22654976.0000
2023-07-03,578.0000,580.0000,576.0000,579.0000,14785585.0000
2023-07-04,585.0000,585.0000,580.0000,585.0000,17219541.0000
2023-07-05,589.0000,589.0000,579.0000,582.0000,14913592.0000
2023-07-06,573.0000,574.0000,565.0000,565.0000,28564891.0000
2023-07-07,565.0000,572.0000,563.0000,565.0000,18796190.0000
2023-07-10,567.0000,573.0000,565.0000,565.0000,18454982.0000
2023-07-11,574.0000,577.0000,570.0000,577.0000,17850636.0000
2023-07-12,574.0000,578.0000,572.0000,578.0000,15588228.0000
