"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-08-13","2317","2317","unknown","0","50","50","0","0",""
"2025-08-13","2330","2330","unknown","0","50","50","0","0",""
"2025-08-13","2454","2454","unknown","0","50","50","0","0",""
"2025-08-13","2603","2603","unknown","0","50","50","0","0",""
"2025-08-13","2609","2609","unknown","0","50","50","0","0",""
"2025-08-13","2615","2615","unknown","0","50","50","0","0",""
"2025-08-14","2317","2317","unknown","0.5038","50","50","0.5","0.2519",""
"2025-08-14","2330","2330","unknown","-2.0833","48.33","50","2.08","-1.0417",""
"2025-08-14","2454","2454","unknown","1.4599","50","50","1.46","0.7299",""
"2025-08-14","2603","2603","unknown","1.0152","50","50","1.02","0.5076",""
"2025-08-14","2609","2609","unknown","0","50","50","0","0",""
"2025-08-14","2615","2615","unknown","-0.5549","49.56","50","0.55","-0.2775",""
"2025-08-15","2317","2317","unknown","3.7594","49.63","50","3.76","1.4211",""
"2025-08-15","2330","2330","unknown","0.4255","49.39","50","0.43","-0.5526",""
"2025-08-15","2454","2454","unknown","-1.4388","49.43","50","1.44","0.007",""
"2025-08-15","2603","2603","unknown","-0.5025","49.94","50","0.5","0.1709",""
"2025-08-15","2609","2609","unknown","-0.6493","49.57","50","0.65","-0.2164",""
"2025-08-15","2615","2615","unknown","-1.2277","49.03","50","1.23","-0.5942",""
"2025-08-18","2317","2317","unknown","1.4493","50.56","50","1.45","1.4281",""
"2025-08-18","2330","2330","unknown","0","49.67","50","0","-0.4145",""
"2025-08-18","2454","2454","unknown","2.9197","49.42","50","2.92","0.7352",""
"2025-08-18","2603","2603","unknown","-0.2525","49.95","50","0.25","0.065",""
"2025-08-18","2609","2609","unknown","-0.3268","49.67","50","0.33","-0.244",""
"2025-08-18","2615","2615","unknown","-0.113","49.58","50","0.11","-0.4739",""
"2025-08-19","2317","2317","unknown","-0.9524","50.38","50","0.95","0.952",""
"2025-08-19","2330","2330","unknown","0.4237","49.63","50","0.42","-0.2468",""
"2025-08-19","2454","2454","unknown","-1.4184","49.68","50","1.42","0.3045",""
"2025-08-19","2603","2603","unknown","-1.519","49.19","50","1.52","-0.2518",""
"2025-08-19","2609","2609","unknown","-1.1475","49.2","50","1.15","-0.4247",""
"2025-08-19","2615","2615","unknown","-3.2805","47.86","50","3.28","-1.0352",""
"2025-08-20","2317","2317","unknown","-3.6058","48.74","50","3.61","0.2309",""
"2025-08-20","2330","2330","unknown","-4.2194","47.44","50","4.22","-1.0907",""
"2025-08-20","2454","2454","unknown","-2.518","48.83","50","2.52","-0.1991",""
"2025-08-20","2603","2603","unknown","-1.0283","49.22","50","1.03","-0.4574",""
"2025-08-20","2609","2609","unknown","0.1658","49.62","50","0.17","-0.3916",""
"2025-08-20","2615","2615","unknown","1.1696","48.89","50","1.17","-0.8013",""
"2025-08-21","2317","2317","unknown","2.7431","49.45","50","2.74","0.6787",""
"2025-08-21","2330","2330","unknown","1.3216","49.14","50","1.32","-0.4097",""
"2025-08-21","2454","2454","unknown","0.738","49.43","50","0.74","-0.3435",""
"2025-08-21","2603","2603","unknown","0.7792","49.28","50","0.78","-0.5046",""
"2025-08-21","2609","2609","unknown","0.3311","49.61","50","0.33","-0.3253",""
"2025-08-21","2615","2615","unknown","-0.9249","48.93","50","0.92","-0.8753",""
"2025-08-22","2317","2317","unknown","-1.699","48.99","50","1.7","-0.413",""
"2025-08-22","2330","2330","unknown","-1.3043","48.87","50","1.3","-0.7557",""
"2025-08-22","2454","2454","unknown","0","49.96","50","0","-0.0557",""
"2025-08-22","2603","2603","unknown","-1.8041","48.67","50","1.8","-0.7649",""
"2025-08-22","2609","2609","unknown","-1.6502","48.92","50","1.65","-0.5255",""
"2025-08-22","2615","2615","unknown","-1.867","48.45","50","1.87","-1.0032",""
"2025-08-25","2317","2317","unknown","2.4691","48.85","50","2.47","-0.209",""
"2025-08-25","2330","2330","unknown","3.0837","48.66","50","3.08","-0.1389",""
"2025-08-25","2454","2454","unknown","3.2967","48.7","50","3.3","0.0197",""
"2025-08-25","2603","2603","unknown","-0.7874","48.99","50","0.79","-0.8719",""
"2025-08-25","2609","2609","unknown","-0.6711","49.26","50","0.67","-0.5944",""
"2025-08-25","2615","2615","unknown","-0.3567","49.02","50","0.36","-1.0519",""
"2025-08-26","2317","2317","unknown","0.7229","49.81","50","0.72","0.1261",""
"2025-08-26","2330","2330","unknown","0.4274","49.72","50","0.43","-0.1382",""
"2025-08-26","2454","2454","unknown","-0.7092","49.85","50","0.71","0.1615",""
"2025-08-26","2603","2603","unknown","-0.2646","49.4","50","0.26","-0.621",""
"2025-08-26","2609","2609","unknown","-0.3378","49.52","50","0.34","-0.4324",""
"2025-08-26","2615","2615","unknown","-0.2387","49.55","50","0.24","-0.4435",""
"2025-08-27","2317","2317","unknown","-0.4785","50.41","50","0.48","0.7515",""
"2025-08-27","2330","2330","unknown","1.2766","50.26","50","1.28","0.961",""
"2025-08-27","2454","2454","unknown","0","50.53","50","0","0.6651",""
"2025-08-27","2603","2603","unknown","-0.2653","49.52","50","0.27","-0.4684",""
"2025-08-27","2609","2609","unknown","-0.678","49.25","50","0.68","-0.6012",""
"2025-08-27","2615","2615","unknown","-0.2392","49.32","50","0.24","-0.7253",""
"2025-08-28","2317","2317","unknown","-0.9615","49.62","50","0.96","0.0106",""
"2025-08-28","2330","2330","unknown","-2.521","49.15","50","2.52","0.1925",""
"2025-08-28","2454","2454","unknown","-1.0714","49.81","50","1.07","0.3032",""
"2025-08-28","2603","2603","unknown","0","49.5","50","0","-0.6243",""
"2025-08-28","2609","2609","unknown","0.3413","49.38","50","0.34","-0.5992",""
"2025-08-28","2615","2615","unknown","0.8393","49.37","50","0.84","-0.3725",""
"2025-08-29","2317","2317","unknown","-1.2136","49.6","50","1.21","0.1077",""
"2025-08-29","2330","2330","unknown","0","50.36","50","0","0.4533",""
"2025-08-29","2454","2454","unknown","-1.083","49.64","50","1.08","0.0866",""
"2025-08-29","2603","2603","unknown","-1.3298","49.04","50","1.33","-0.5294",""
"2025-08-29","2609","2609","unknown","-1.8707","48.74","50","1.87","-0.6433",""
"2025-08-29","2615","2615","unknown","-1.5458","49.14","50","1.55","-0.3082",""
"2025-09-01","2317","2317","unknown","-2.457","48.32","50","2.46","-0.8775",""
"2025-09-01","2330","2330","unknown","0.431","49.77","50","0.43","-0.0772",""
"2025-09-01","2454","2454","unknown","-0.7299","49.13","50","0.73","-0.7187",""
"2025-09-01","2603","2603","unknown","-0.8086","49.25","50","0.81","-0.5336",""
"2025-09-01","2609","2609","unknown","-0.8666","49.11","50","0.87","-0.6824",""
"2025-09-01","2615","2615","unknown","-1.6908","48.86","50","1.69","-0.575",""
"2025-09-02","2317","2317","unknown","0","49.18","50","0","-1.0221",""
"2025-09-02","2330","2330","unknown","-0.4292","49.63","50","0.43","-0.2485",""
"2025-09-02","2454","2454","unknown","0","49.54","50","0","-0.5769",""
"2025-09-02","2603","2603","unknown","-0.5435","49.31","50","0.54","-0.5894",""
"2025-09-02","2609","2609","unknown","-0.5245","49.21","50","0.52","-0.7197",""
"2025-09-02","2615","2615","unknown","-0.9828","49.03","50","0.98","-0.7239",""
"2025-09-03","2317","2317","unknown","1.0076","49.02","50","1.01","-0.7249",""
"2025-09-03","2330","2330","unknown","0","49.6","50","0","-0.5038",""
"2025-09-03","2454","2454","unknown","2.5735","48.92","50","2.57","-0.0622",""
"2025-09-03","2603","2603","unknown","0","49.57","50","0","-0.5364",""
"2025-09-03","2609","2609","unknown","0.8787","49.32","50","0.88","-0.4083",""
"2025-09-03","2615","2615","unknown","0.1241","49.43","50","0.12","-0.6512",""
"2025-09-04","2317","2317","unknown","1.2469","49.27","50","1.25","-0.2832",""
"2025-09-04","2330","2330","unknown","0","50","50","0","0.0004",""
"2025-09-04","2454","2454","unknown","-0.7168","49.72","50","0.72","0.0087",""
"2025-09-04","2603","2603","unknown","1.0929","49.31","50","1.09","-0.3178",""
"2025-09-04","2609","2609","unknown","1.0453","49.37","50","1.05","-0.2675",""
"2025-09-04","2615","2615","unknown","2.1066","48.84","50","2.11","-0.3978",""
"2025-09-05","2317","2317","unknown","0.9852","49.73","50","0.99","0.1565",""
"2025-09-05","2330","2330","unknown","1.7241","49.59","50","1.72","0.3452",""
"2025-09-05","2454","2454","unknown","3.6101","49.31","50","3.61","0.9474",""
"2025-09-05","2603","2603","unknown","0.8108","49.76","50","0.81","0.1103",""
"2025-09-05","2609","2609","unknown","-0.1724","49.99","50","0.17","0.0721",""
"2025-09-05","2615","2615","unknown","-0.2427","49.79","50","0.24","-0.1371",""
"2025-09-08","2317","2317","unknown","-0.7317","50.11","50","0.73","0.5016",""
"2025-09-08","2330","2330","unknown","0","50.21","50","0","0.259",""
"2025-09-08","2454","2454","unknown","-0.3484","50.68","50","0.35","1.0237",""
"2025-09-08","2603","2603","unknown","0","50.22","50","0","0.272",""
"2025-09-08","2609","2609","unknown","-0.3454","50","50","0.35","0.1763",""
"2025-09-08","2615","2615","unknown","0","50.16","50","0","0.201",""
"2025-09-09","2317","2317","unknown","1.9656","49.93","50","1.97","0.8947",""
"2025-09-09","2330","2330","unknown","1.6949","49.87","50","1.69","0.6838",""
"2025-09-09","2454","2454","unknown","5.5944","49.48","50","5.59","2.1426",""
"2025-09-09","2603","2603","unknown","-1.0724","49.7","50","1.07","0.1663",""
"2025-09-09","2609","2609","unknown","-1.0399","49.64","50","1.04","0.0733",""
"2025-09-09","2615","2615","unknown","-1.2165","49.64","50","1.22","0.1543",""
"2025-09-10","2317","2317","unknown","1.2048","50.27","50","1.2","0.9342",""
"2025-09-10","2330","2330","unknown","2.0833","50.05","50","2.08","1.1005",""
"2025-09-10","2454","2454","unknown","-1.3245","50.56","50","1.32","1.3629",""
"2025-09-10","2603","2603","unknown","0.542","50","50","0.54","0.2747",""
"2025-09-10","2609","2609","unknown","-0.5254","49.62","50","0.53","-0.2076",""
"2025-09-10","2615","2615","unknown","-0.3695","49.9","50","0.37","0.0556",""
"2025-09-11","2317","2317","unknown","2.1429","50.03","50","2.14","1.1134",""
"2025-09-11","2330","2330","unknown","1.2245","50.59","50","1.22","1.3454",""
"2025-09-11","2454","2454","unknown","-0.6711","50.83","50","0.67","1.3721",""
"2025-09-11","2603","2603","unknown","-1.3477","49.29","50","1.35","-0.2135",""
"2025-09-11","2609","2609","unknown","-2.2887","48.39","50","2.29","-0.8744",""
"2025-09-11","2615","2615","unknown","-2.3486","48.39","50","2.35","-0.8355",""
"2025-09-12","2317","2317","unknown","1.3986","50.4","50","1.4","1.196",""
"2025-09-12","2330","2330","unknown","1.6129","50.41","50","1.61","1.3231",""
"2025-09-12","2454","2454","unknown","0.3378","50.44","50","0.34","0.7176",""
"2025-09-12","2603","2603","unknown","1.3661","49.37","50","1.37","-0.1024",""
"2025-09-12","2609","2609","unknown","1.8018","48.9","50","1.8","-0.4795",""
"2025-09-12","2615","2615","unknown","1.2658","49.07","50","1.27","-0.5338",""
"2025-09-15","2317","2317","unknown","-0.6897","50.69","50","0.69","1.2044",""
"2025-09-15","2330","2330","unknown","-0.3968","50.84","50","0.4","1.2438",""
"2025-09-15","2454","2454","unknown","0","50.63","50","0","0.7873",""
"2025-09-15","2603","2603","unknown","-1.0782","49.31","50","1.08","-0.318",""
"2025-09-15","2609","2609","unknown","-0.885","49.18","50","0.88","-0.5874",""
"2025-09-15","2615","2615","unknown","-0.5","49.29","50","0.5","-0.6338",""
