code,name,sector,error
8291,尚茂,,KeyError('tpex_missing')
1260,富味鄉,,KeyError('twse_missing')
1269,乾杯,,KeyError('twse_missing')
1271,晨暉生技,,KeyError('twse_missing')
1293,利統,,KeyError('twse_missing')
1343,旭東環保,,KeyError('twse_missing')
1480,東盟開發,,KeyError('twse_missing')
1594,日高,,KeyError('twse_missing')
1780,立弘,,KeyError('twse_missing')
2071,震南鐵,,KeyError('twse_missing')
2072,世紀風電,,KeyError('twse_missing')
2237,華德動能,,KeyError('twse_missing')
2245,詠勝昌*,,KeyError('twse_missing')
2249,湧盛,,KeyError('twse_missing')
2252,為昇科,,KeyError('twse_missing')
2255,凱銳光電,,KeyError('twse_missing')
2256,歐特明,,KeyError('twse_missing')
2644,中信造船,,KeyError('twse_missing')
2733,維格餅家,,KeyError('twse_missing')
2741,老四川,,KeyError('twse_missing')
2758,路易莎咖啡,,KeyError('twse_missing')
2760,巨宇翔,,KeyError('twse_missing')
2761,橘焱胡同,,KeyError('twse_missing')
2938,床的世界,,KeyError('twse_missing')
2940,歐都納,,KeyError('twse_missing')
2942,京站,,KeyError('twse_missing')
3097,拍檔,,KeyError('twse_missing')
3117,年程,,KeyError('twse_missing')
3184,微邦,,KeyError('twse_missing')
3473,智通聯網,,KeyError('twse_missing')
3485,敘豐,,KeyError('twse_missing')
3585,聯致,,KeyError('twse_missing')
3595,山太士,,KeyError('twse_missing')
3603,建祥國際,,KeyError('twse_missing')
3616,泓辰,,KeyError('twse_missing')
3633,云光,,KeyError('twse_missing')
3659,百辰,,KeyError('twse_missing')
3678,聯享,,KeyError('twse_missing')
4115,善德生技,,KeyError('twse_missing')
4117,普生,,KeyError('twse_missing')
4132,國鼎,,KeyError('twse_missing')
4150,優你康,,KeyError('twse_missing')
4169,泰宗,,KeyError('twse_missing')
4170,鑫品生醫,,KeyError('twse_missing')
4172,因華,,KeyError('twse_missing')
4178,永笙-KY,,KeyError('twse_missing')
4186,尖端醫,,KeyError('twse_missing')
4194,禾生技,,KeyError('twse_missing')
4195,基米,,KeyError('twse_missing')
4197,暐世,,KeyError('twse_missing')
4431,敏成健康,,KeyError('twse_missing')
4537,旭東,,KeyError('twse_missing')
4544,春日,,KeyError('twse_missing')
4546,長亨,,KeyError('twse_missing')
4553,盛復,,KeyError('twse_missing')
4559,久裕興,,KeyError('twse_missing')
4565,宏偉,,KeyError('twse_missing')
4570,傑生,,KeyError('twse_missing')
4573,高明鐵,,KeyError('twse_missing')
4575,銓寶,,KeyError('twse_missing')
4582,聚恆,,KeyError('twse_missing')
4587,寶元數控,,KeyError('twse_missing')
4589,碩陽電機,,KeyError('twse_missing')
4724,宣捷幹細胞,,KeyError('twse_missing')
4732,彥臣,,KeyError('twse_missing')
4738,大同精化,,KeyError('twse_missing')
4765,磐采,,KeyError('twse_missing')
4773,高福,,KeyError('twse_missing')
4925,智微,,KeyError('twse_missing')
4980,佐臻,,KeyError('twse_missing')
5240,建騰,,KeyError('twse_missing')
5246,勵威,,KeyError('twse_missing')
5248,景傳,,KeyError('twse_missing')
5254,欣訊科技,,KeyError('twse_missing')
5262,立達,,KeyError('twse_missing')
5267,龍翩,,KeyError('twse_missing')
5271,紘通,,KeyError('twse_missing')
5297,廣化,,KeyError('twse_missing')
5859,遠壽,,KeyError('twse_missing')
5863,瑞興銀,,KeyError('twse_missing')
6027,德信,,KeyError('twse_missing')
6028,公勝保經,,KeyError('twse_missing')
6035,悠遊卡,,KeyError('twse_missing')
6407,相互,,KeyError('twse_missing')
6428,淘米,,KeyError('twse_missing')
6434,達輝光電,,KeyError('twse_missing')
6467,泰合,,KeyError('twse_missing')
6473,美賣*,,KeyError('twse_missing')
6483,原創生醫,,KeyError('twse_missing')
6493,雷虎生,,KeyError('twse_missing')
6518,康科特,,KeyError('twse_missing')
6536,碩豐,,KeyError('twse_missing')
6539,麗彤,,KeyError('twse_missing')
6543,普惠醫工,,KeyError('twse_missing')
6549,景凱,,KeyError('twse_missing')
6555,榮炭,,KeyError('twse_missing')
6559,研晶,,KeyError('twse_missing')
6563,映智,,KeyError('twse_missing')
6564,安特羅,,KeyError('twse_missing')
6565,物聯,,KeyError('twse_missing')
6572,博錸,,KeyError('twse_missing')
6580,台睿,,KeyError('twse_missing')
6583,友松,,KeyError('twse_missing')
6586,醣基,,KeyError('twse_missing')
6595,光禹國際,,KeyError('twse_missing')
6599,普達系統,,KeyError('twse_missing')
6604,儒億,,KeyError('twse_missing')
6610,安成生技,,KeyError('twse_missing')
6618,永虹先進,,KeyError('twse_missing')
6621,華宇藥,,KeyError('twse_missing')
6622,百聿數碼,,KeyError('twse_missing')
6634,欣耀,,KeyError('twse_missing')
6638,沅聖,,KeyError('twse_missing')
6639,源大環能,,KeyError('twse_missing')
6648,斯其大,,KeyError('twse_missing')
6650,帝圖,,KeyError('twse_missing')
6652,雅祥生醫,,KeyError('twse_missing')
6659,天明製藥,,KeyError('twse_missing')
6665,康聯生醫,,KeyError('twse_missing')
6673,和詮,,KeyError('twse_missing')
6676,祥翊,,KeyError('twse_missing')
6677,瑩碩生技,,KeyError('twse_missing')
6682,華旭先進,,KeyError('twse_missing')
6696,仁新,,KeyError('twse_missing')
6704,國璽幹細胞,,KeyError('twse_missing')
6705,振躍精密,,KeyError('twse_missing')
6707,富基電通,,KeyError('twse_missing')
6709,昱厚生技,,KeyError('twse_missing')
6723,傑智環境,,KeyError('twse_missing')
6729,機光科技,,KeyError('twse_missing')
6734,安盛生,,KeyError('twse_missing')
6737,秀育,,KeyError('twse_missing')
6738,鼎恒,,KeyError('twse_missing')
6744,豐技生技,,KeyError('twse_missing')
6748,亞果生醫,,KeyError('twse_missing')
6750,泰創工程,,KeyError('twse_missing')
6755,連鋐科技,,KeyError('twse_missing')
6758,冠亞,,KeyError('twse_missing')
6775,穎台科技,,KeyError('twse_missing')
6780,學習王,,KeyError('twse_missing')
6784,天凱科技,,KeyError('twse_missing')
6786,芯測,,KeyError('twse_missing')
6787,晶瑞光,,KeyError('twse_missing')
6793,天力離岸,,KeyError('twse_missing')
6797,圓點奈米,,KeyError('twse_missing')
6798,展逸,,KeyError('twse_missing')
6808,三鼎生技,,KeyError('twse_missing')
6810,新穎生醫,,KeyError('twse_missing')
6812,梭特,,KeyError('twse_missing')
6814,路迦生醫,,KeyError('twse_missing')
6815,晶鑽生醫,,KeyError('twse_missing')
6816,捷智商訊,,KeyError('twse_missing')
6817,溫士頓,,KeyError('twse_missing')
6818,連騰,,KeyError('twse_missing')
6819,眾智,,KeyError('twse_missing')
6820,連訊,,KeyError('twse_missing')
6825,和暢科技,,KeyError('twse_missing')
6826,和淞,,KeyError('twse_missing')
6827,巨生醫,,KeyError('twse_missing')
6832,金鼎科,,KeyError('twse_missing')
6833,太康精密,,KeyError('twse_missing')
6839,開陽能源,,KeyError('twse_missing')
6842,一元素,,KeyError('twse_missing')
6847,普瑞博,,KeyError('twse_missing')
6848,拉法醫,,KeyError('twse_missing')
6849,奇鼎科技,,KeyError('twse_missing')
6850,光鼎生技,,KeyError('twse_missing')
6857,宏碁智醫,,KeyError('twse_missing')
6858,愛比科技,,KeyError('twse_missing')
6864,元樟生技,,KeyError('twse_missing')
6867,坦德科技,,KeyError('twse_missing')
6868,采威國際,,KeyError('twse_missing')
6876,朗齊生醫*,,KeyError('twse_missing')
6878,歐付寶,,KeyError('twse_missing')
6879,大江基因,,KeyError('twse_missing')
6882,甲尚,,KeyError('twse_missing')
6883,微電能源,,KeyError('twse_missing')
6886,遠東生技,,KeyError('twse_missing')
6891,樂迦再生,,KeyError('twse_missing')
6892,台寶生醫,,KeyError('twse_missing')
6898,程曦資訊,,KeyError('twse_missing')
6908,宏碁遊戲,,KeyError('twse_missing')
6911,群運,,KeyError('twse_missing')
6912,益鈞環科*,,KeyError('twse_missing')
6915,美強光,,KeyError('twse_missing')
6917,竟天,,KeyError('twse_missing')
6920,恆勁科技,,KeyError('twse_missing')
6926,聖安生醫,,KeyError('twse_missing')
6927,聯合聚晶,,KeyError('twse_missing')
6932,水星生醫*,,KeyError('twse_missing')
6935,王子製藥,,KeyError('twse_missing')
6938,藍新資訊,,KeyError('twse_missing')
6939,啟弘生技,,KeyError('twse_missing')
