"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-11-10","2317","2317","unknown","2.2541","81","0","0","12.6411",""
"2025-11-10","2330","2330","unknown","1.0274","76","0","0","2.4306",""
"2025-11-10","2454","2454","unknown","-0.7937","46","0","0","-7.0632",""
"2025-11-10","2603","2603","unknown","-2.4064","76","0","0","2.2409",""
"2025-11-10","2609","2609","unknown","-2.3941","52","0","0","3.3138",""
"2025-11-10","2615","2615","unknown","-3.1477","54","0","0","7.8167",""
"2025-11-11","2317","2317","unknown","-1.2024","83","0","0","15.7277",""
"2025-11-11","2330","2330","unknown","-0.678","77","0","0","3.5336",""
"2025-11-11","2454","2454","unknown","-0.8","47","0","0","-5.7034",""
"2025-11-11","2603","2603","unknown","-1.3699","75","0","0","0.5587",""
"2025-11-11","2609","2609","unknown","-0.566","51","0","0","2.1318",""
"2025-11-11","2615","2615","unknown","-1.125","77","0","0","3.8058",""
"2025-11-12","2317","2317","unknown","1.8256","86","0","0","21.8447",""
"2025-11-12","2330","2330","unknown","0.6826","77","0","0","3.5088",""
"2025-11-12","2454","2454","unknown","0.4032","48","0","0","-4.5977",""
"2025-11-12","2603","2603","unknown","3.3333","74","0","0","-1.5873",""
"2025-11-12","2609","2609","unknown","2.6565","48","0","0","-4.5855",""
"2025-11-12","2615","2615","unknown","3.1606","74","0","0","-2.6253",""
"2025-11-13","2317","2317","unknown","0.3984","86","0","0","22.0339",""
"2025-11-13","2330","2330","unknown","-1.0169","75","0","0","-0.3413",""
"2025-11-13","2454","2454","unknown","0","47","0","0","-5.3232",""
"2025-11-13","2603","2603","unknown","0.8065","76","0","0","1.9022",""
"2025-11-13","2609","2609","unknown","0.1848","51","0","0","1.8797",""
"2025-11-13","2615","2615","unknown","2.6961","77","0","0","4.0994",""
"2025-11-14","2317","2317","unknown","-4.3651","79","0","0","8.0717",""
"2025-11-14","2330","2330","unknown","-2.0548","73","0","0","-3.7037",""
"2025-11-14","2454","2454","unknown","-1.2048","46","0","0","-7.5188",""
"2025-11-14","2603","2603","unknown","-1.0667","75","0","0","0",""
"2025-11-14","2609","2609","unknown","-0.9225","50","0","0","0.7505",""
"2025-11-14","2615","2615","unknown","-1.5513","77","0","0","3.7736",""
"2025-11-17","2317","2317","unknown","-2.0747","77","0","0","4.1943",""
