"date","code","score","allocation","capital"
"2025-11-11","2317","83","68595","300000"
"2025-11-11","2330","77","63636","300000"
"2025-11-11","2603","75","61983","300000"
"2025-11-11","2609","51","42149","300000"
"2025-11-11","2615","77","63636","300000"
"2025-11-12","2317","86","82958","300000"
"2025-11-12","2330","77","74277","300000"
"2025-11-12","2603","74","71383","300000"
"2025-11-12","2615","74","71383","300000"
"2025-11-13","2317","86","70685","300000"
"2025-11-13","2330","75","61644","300000"
"2025-11-13","2603","76","62466","300000"
"2025-11-13","2609","51","41918","300000"
"2025-11-13","2615","77","63288","300000"
"2025-11-14","2317","79","66949","300000"
"2025-11-14","2330","73","61864","300000"
"2025-11-14","2603","75","63559","300000"
"2025-11-14","2609","50","42373","300000"
"2025-11-14","2615","77","65254","300000"
"2025-11-17","2317","77","76490","300000"
"2025-11-17","2330","75","74503","300000"
"2025-11-17","2603","74","73510","300000"
"2025-11-17","2615","76","75497","300000"
"2025-11-18","2317","73","73737","300000"
"2025-11-18","2330","72","72727","300000"
"2025-11-18","2603","74","74747","300000"
"2025-11-18","2615","78","78788","300000"
"2025-11-19","2317","73","73737","300000"
"2025-11-19","2330","72","72727","300000"
"2025-11-19","2603","74","74747","300000"
"2025-11-19","2615","78","78788","300000"
"2025-11-20","2317","74","73510","300000"
"2025-11-20","2330","75","74503","300000"
"2025-11-20","2603","75","74503","300000"
"2025-11-20","2615","78","77483","300000"
"2025-11-21","2317","72","72973","300000"
"2025-11-21","2330","73","73986","300000"
"2025-11-21","2603","74","75000","300000"
"2025-11-21","2615","77","78041","300000"
"2025-11-24","2317","70","72414","300000"
"2025-11-24","2330","71","73448","300000"
"2025-11-24","2603","73","75517","300000"
"2025-11-24","2615","76","78621","300000"
"2025-11-25","2317","69","71379","300000"
"2025-11-25","2330","73","75517","300000"
"2025-11-25","2603","73","75517","300000"
"2025-11-25","2615","75","77586","300000"
"2025-11-26","2317","69","60526","300000"
"2025-11-26","2330","73","64035","300000"
"2025-11-26","2454","50","43860","300000"
"2025-11-26","2603","73","64035","300000"
"2025-11-26","2615","77","67544","300000"
"2025-11-27","2317","69","61607","300000"
"2025-11-27","2330","73","65179","300000"
"2025-11-27","2454","51","45536","300000"
"2025-11-27","2603","71","63393","300000"
"2025-11-27","2615","72","64286","300000"
"2025-11-28","2317","69","76952","300000"
"2025-11-28","2330","73","81413","300000"
"2025-11-28","2454","53","59108","300000"
"2025-11-28","2615","74","82528","300000"
"2025-12-01","2317","69","76103","300000"
"2025-12-01","2330","72","79412","300000"
"2025-12-01","2454","56","61765","300000"
"2025-12-01","2615","75","82721","300000"
"2025-12-02","2317","70","77491","300000"
"2025-12-02","2330","73","80812","300000"
"2025-12-02","2454","54","59779","300000"
"2025-12-02","2615","74","81919","300000"
"2025-12-03","2317","71","77737","300000"
"2025-12-03","2330","75","82117","300000"
"2025-12-03","2454","53","58029","300000"
"2025-12-03","2615","75","82117","300000"
"2025-12-04","2317","71","78022","300000"
"2025-12-04","2330","74","81319","300000"
"2025-12-04","2454","54","59341","300000"
"2025-12-04","2615","74","81319","300000"
"2025-12-05","2317","72","77978","300000"
"2025-12-05","2330","75","81227","300000"
"2025-12-05","2454","57","61733","300000"
"2025-12-05","2615","73","79061","300000"
"2025-12-08","2317","71","76344","300000"
"2025-12-08","2330","76","81720","300000"
"2025-12-08","2454","58","62366","300000"
"2025-12-08","2615","74","79570","300000"
"2025-12-09","2317","73","66163","300000"
"2025-12-09","2330","76","68882","300000"
"2025-12-09","2454","57","51662","300000"
"2025-12-09","2603","50","45317","300000"
"2025-12-09","2615","75","67976","300000"
"2025-12-10","2330","76","109615","300000"
"2025-12-10","2454","59","85096","300000"
"2025-12-10","2615","73","105288","300000"
"2025-12-11","2330","75","110837","300000"
"2025-12-11","2454","56","82759","300000"
"2025-12-11","2615","72","106404","300000"
"2025-12-12","2330","77","112136","300000"
"2025-12-12","2454","57","83010","300000"
"2025-12-12","2615","72","104854","300000"
"2025-12-15","2330","75","79787","300000"
"2025-12-15","2454","83","88298","300000"
"2025-12-15","2603","51","54255","300000"
"2025-12-15","2615","73","77660","300000"
"2025-12-16","2330","76","68060","300000"
"2025-12-16","2454","86","77015","300000"
"2025-12-16","2603","51","45672","300000"
"2025-12-16","2609","50","44776","300000"
"2025-12-16","2615","72","64478","300000"
"2025-12-17","2330","76","68060","300000"
"2025-12-17","2454","86","77015","300000"
"2025-12-17","2603","51","45672","300000"
"2025-12-17","2609","50","44776","300000"
"2025-12-17","2615","72","64478","300000"
"2025-12-18","2330","74","79004","300000"
"2025-12-18","2454","85","90747","300000"
