code,sector,name
1101,水泥工業,台泥
1102,水泥工業,亞泥
1103,水泥工業,嘉泥
1104,水泥工業,環泥
1108,水泥工業,幸福
1109,水泥工業,信大
1110,水泥工業,東泥
1201,食品工業,味全
1203,食品工業,味王
1210,食品工業,大成
1213,食品工業,大飲
1215,食品工業,卜蜂
1216,食品工業,統一
1217,食品工業,愛之味
1218,食品工業,泰山
1219,食品工業,福壽
1220,食品工業,台榮
1225,食品工業,福懋油
1227,食品工業,佳格
1229,食品工業,聯華
1231,食品工業,聯華食
1232,食品工業,大統益
1233,食品工業,天仁
1234,食品工業,黑松
1235,食品工業,興泰
1236,食品工業,宏亞
1256,食品工業,鮮活果汁-KY
1301,塑膠工業,台塑
1303,塑膠工業,南亞
1304,塑膠工業,台聚
1305,塑膠工業,華夏
1307,塑膠工業,三芳
1308,塑膠工業,亞聚
1309,塑膠工業,台達化
1310,塑膠工業,台苯
1312,塑膠工業,國喬
1313,塑膠工業,聯成
1314,塑膠工業,中石化
1315,塑膠工業,達新
1316,建材營造業,上曜
1319,汽車工業,東陽
1321,塑膠工業,大洋
1323,塑膠工業,永裕
1324,塑膠工業,地球
1325,塑膠工業,恆大
1326,塑膠工業,台化
1337,塑膠工業,再生-KY
1338,汽車工業,廣華-KY
1339,汽車工業,昭輝
1340,塑膠工業,勝悅-KY
1341,塑膠工業,富林-KY
1342,其他業,八貫
1402,紡織纖維,遠東新
1409,紡織纖維,新纖
1410,紡織纖維,南染
1413,紡織纖維,宏洲
1414,紡織纖維,東和
1416,其他業,廣豐
1417,紡織纖維,嘉裕
1418,紡織纖維,東華
1419,紡織纖維,新紡
1423,紡織纖維,利華
1432,運動休閒,大魯閣
1434,紡織纖維,福懋
1435,其他業,中福
1436,建材營造業,華友聯
1437,其他業,勤益控
1438,建材營造業,三地開發
1439,建材營造業,雋揚
1440,紡織纖維,南紡
1441,紡織纖維,大東
1442,建材營造業,名軒
1443,其他業,立益物流
1444,紡織纖維,力麗
1445,紡織纖維,大宇
1446,紡織纖維,宏和
1447,紡織纖維,力鵬
1449,紡織纖維,佳和
1451,紡織纖維,年興
1452,紡織纖維,宏益
1453,建材營造業,大將
1454,紡織纖維,台富
1455,紡織纖維,集盛
1456,建材營造業,怡華
1457,紡織纖維,宜進
1459,紡織纖維,聯發
1460,紡織纖維,宏遠
1463,紡織纖維,強盛新
1464,紡織纖維,得力
1465,紡織纖維,偉全
1466,紡織纖維,聚隆
1467,紡織纖維,南緯
1468,紡織纖維,昶和
1470,紡織纖維,大統新創
1471,電子零組件業,首利
1472,建材營造業,三洋實業
1473,紡織纖維,台南
1474,紡織纖維,弘裕
1475,紡織纖維,業旺
1476,紡織纖維,儒鴻
1477,紡織纖維,聚陽
1503,電機機械,士電
1504,電機機械,東元
1506,電機機械,正道
1512,汽車工業,瑞利
1513,電機機械,中興電
1514,電機機械,亞力
1515,電機機械,力山
1516,其他業,川飛
1517,電機機械,利奇
1519,電機機械,華城
1521,汽車工業,大億
1522,汽車工業,堤維西
1524,汽車工業,耿鼎
1525,汽車工業,江申
1526,電機機械,日馳
1527,電機機械,鑽全
1528,電機機械,恩德
1529,電機機械,樂事綠能
1530,電機機械,亞崴
1531,電機機械,高林股
1532,電機機械,勤美
1533,汽車工業,車王電
1535,電機機械,中宇
1536,汽車工業,和大
1537,電機機械,廣隆
1538,電機機械,正峰
1539,電機機械,巨庭
1540,電機機械,喬福
1541,電機機械,錩泰
1558,電機機械,伸興
1560,電機機械,中砂
1563,汽車工業,巧新
1568,汽車工業,倉佑
1582,電子零組件業,信錦
1583,電機機械,程泰
1587,汽車工業,吉茂
1589,電機機械,永冠-KY
1590,電機機械,亞德客-KY
1597,電機機械,直得
1598,運動休閒,岱宇
1603,電器電纜,華電
1604,電器電纜,聲寶
1605,電器電纜,華新
1608,電器電纜,華榮
1609,電器電纜,大亞
1611,電器電纜,中電
1612,電器電纜,宏泰
1614,電器電纜,三洋電
1615,電器電纜,大山
1616,電器電纜,億泰
1617,電器電纜,榮星
1618,電器電纜,合機
1623,電器電纜,大東電
1626,電器電纜,艾美特-KY
1702,食品工業,南僑
1707,生技醫療業,葡萄王
1708,化學工業,東鹼
1709,化學工業,和益
1710,化學工業,東聯
1711,化學工業,永光
1712,化學工業,興農
1713,化學工業,國化
1714,化學工業,和桐
1717,化學工業,長興
1718,化學工業,中纖
1720,生技醫療業,生達
1721,化學工業,三晃
1722,化學工業,台肥
1723,化學工業,中碳
1725,化學工業,元禎
1726,化學工業,永記
1727,化學工業,中華化
1730,化學工業,花仙子
1731,生技醫療業,美吾華
1732,化學工業,毛寶
1733,生技醫療業,五鼎
1734,生技醫療業,杏輝
1735,化學工業,日勝化
1736,運動休閒,喬山
1737,食品工業,臺鹽
1752,生技醫療業,南光
1760,生技醫療業,寶齡富錦
1762,生技醫療業,中化生
1773,化學工業,勝一
1776,化學工業,展宇
1783,生技醫療業,和康生
1786,生技醫療業,科妍
1789,生技醫療業,神隆
1795,生技醫療業,美時
1802,玻璃陶瓷,台玻
1805,建材營造業,寶徠
1806,玻璃陶瓷,冠軍
1808,建材營造業,潤隆
1809,玻璃陶瓷,中釉
1810,玻璃陶瓷,和成
