date,risk_mode,market_ok,trend_ok,breadth_ratio,holdings,capital,used_capital,cash_reserve,code,rank,name,sector,total_score,weight,amount,change_percent,source,open,high,low,close,volume,amount_raw
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,2337,1,旺宏,,85.0,0.06,18000.0,10.549943883277225,twse,89.1,98.5,88.8,98.5,347913513.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,3230,2,錦明,,85.0,0.06,18000.0,11.835106382978712,tpex,37.6,42.15,37.3,42.05,5897697.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,3581,3,博磊,,85.0,0.06,18000.0,12.636505460218425,tpex,64.1,72.2,62.7,72.2,1773376.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,5386,4,青雲,,85.0,0.06,18000.0,11.538461538461538,tpex,143.0,159.5,141.0,159.5,1961292.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,6855,5,數泓科,,85.0,0.06,18000.0,12.962962962962962,tpex,108.0,122.0,108.0,122.0,56108.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,8103,6,瀚荃,,85.0,0.06,18000.0,11.73469387755102,twse,98.0,109.5,97.5,109.5,6388535.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,3252,7,海灣,,84.61852861035419,0.06,18000.0,9.809264305177097,tpex,18.35,20.15,18.35,20.15,312305.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,5475,8,德宏,,84.52861952861953,0.06,18000.0,9.764309764309765,tpex,148.5,163.0,148.5,163.0,5533632.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,7740,9,熙特爾-創,,83.43003412969283,0.06,18000.0,9.215017064846416,twse,146.5,160.0,146.5,160.0,358809.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,1802,10,台玻,,83.32946635730856,0.06,18000.0,9.16473317865428,twse,43.1,47.05,43.1,47.05,93106758.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,2923,11,鼎固-KY,,83.26923076923076,0.06,18000.0,9.134615384615378,twse,20.8,22.8,20.8,22.7,381596.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,3529,12,力旺,,83.13186813186813,0.06,18000.0,9.065934065934066,tpex,1820.0,1985.0,1810.0,1985.0,2245239.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,6924,13,榮惠-KY創,,82.77003484320558,0.06,18000.0,8.885017421602791,twse,57.4,62.5,57.4,62.5,31006.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,8472,14,夠麻吉,,82.53130590339893,0.06,18000.0,8.765652951699462,tpex,55.9,60.8,55.0,60.8,57217.0,18000.0
2026-02-11,RISK_ON,True,True,0.09109518935516889,15,300000.0,270000.0,30000.0,4806,15,桂田文創,,81.66666666666664,0.06,18000.0,8.33333333333332,tpex,10.8,11.7,10.8,11.7,100940.0,18000.0
