code,name,market,industry,isin,list_date
0050,元大台灣50,TWSE,,TW0000050004,2003/06/30
0051,元大中型100,TWSE,,TW0000051002,2006/08/31
0052,富邦科技,TWSE,,TW0000052000,2006/09/12
0053,元大電子,TWSE,,TW0000053008,2007/07/16
0055,元大MSCI金融,TWSE,,TW0000055003,2007/07/16
0056,元大高股息,TWSE,,TW0000056001,2007/12/26
0057,富邦摩台,TWSE,,TW0000057009,2008/02/27
0061,元大寶滬深,TWSE,,TW0000061001,2009/08/17
1101,台泥,TWSE,水泥工業,TW0001101004,1962/02/09
1102,亞泥,TWSE,水泥工業,TW0001102002,1962/06/08
1103,嘉泥,TWSE,水泥工業,TW0001103000,1969/11/14
1104,環泥,TWSE,水泥工業,TW0001104008,1971/02/01
1108,幸福,TWSE,水泥工業,TW0001108009,1990/06/06
1109,信大,TWSE,水泥工業,TW0001109007,1991/12/05
1110,東泥,TWSE,水泥工業,TW0001110005,1994/10/22
1201,味全,TWSE,食品工業,TW0001201002,1962/02/09
1203,味王,TWSE,食品工業,TW0001203008,1964/08/24
1210,大成,TWSE,食品工業,TW0001210003,1978/05/20
1213,大飲,TWSE,食品工業,TW0001213007,1981/04/10
1215,卜蜂,TWSE,食品工業,TW0001215002,1987/07/27
1216,統一,TWSE,食品工業,TW0001216000,1987/12/28
1217,愛之味,TWSE,食品工業,TW0001217008,1989/10/28
1218,泰山,TWSE,食品工業,TW0001218006,1989/11/11
1219,福壽,TWSE,食品工業,TW0001219004,1990/12/01
1220,台榮,TWSE,食品工業,TW0001220002,1991/11/20
1225,福懋油,TWSE,食品工業,TW0001225001,1993/09/27
1227,佳格,TWSE,食品工業,TW0001227007,1994/04/09
1229,聯華,TWSE,食品工業,TW0001229003,1976/07/19
1231,聯華食,TWSE,食品工業,TW0001231009,1995/11/02
1232,大統益,TWSE,食品工業,TW0001232007,1996/02/09
1233,天仁,TWSE,食品工業,TW0001233005,1999/01/20
1234,黑松,TWSE,食品工業,TW0001234003,1999/03/12
1235,興泰,TWSE,食品工業,TW0001235000,2000/09/11
1236,宏亞,TWSE,食品工業,TW0001236008,2001/09/17
1256,鮮活果汁-KY,TWSE,食品工業,KYG858681003,2016/03/17
1301,台塑,TWSE,塑膠工業,TW0001301000,1964/07/27
1303,南亞,TWSE,塑膠工業,TW0001303006,1967/11/05
1304,台聚,TWSE,塑膠工業,TW0001304004,1972/05/20
1305,華夏,TWSE,塑膠工業,TW0001305001,1973/03/05
1307,三芳,TWSE,塑膠工業,TW0001307007,1985/11/23
1308,亞聚,TWSE,塑膠工業,TW0001308005,1986/06/20
1309,台達化,TWSE,塑膠工業,TW0001309003,1986/06/27
1310,台苯,TWSE,塑膠工業,TW0001310001,1987/08/06
1312,國喬,TWSE,塑膠工業,TW0001312007,1988/12/21
1313,聯成,TWSE,塑膠工業,TW0001313005,1989/03/27
1314,中石化,TWSE,塑膠工業,TW0001314003,1991/07/12
1315,達新,TWSE,塑膠工業,TW0001315000,1992/05/09
1316,上曜,TWSE,建材營造業,TW0001316008,1992/10/15
1319,東陽,TWSE,汽車工業,TW0001319002,1994/12/12
1321,大洋,TWSE,塑膠工業,TW0001321008,1999/01/26
1323,永裕,TWSE,塑膠工業,TW0001323004,2000/09/11
1324,地球,TWSE,塑膠工業,TW0001324002,2000/09/11
1325,恆大,TWSE,塑膠工業,TW0001325009,2000/09/11
1326,台化,TWSE,塑膠工業,TW0001326007,1984/12/20
1337,再生-KY,TWSE,塑膠工業,KYG0539R1039,2011/07/01
1338,廣華-KY,TWSE,汽車工業,KYG451001070,2012/12/19
1339,昭輝,TWSE,汽車工業,TW0001339000,2012/04/24
1340,勝悅-KY,TWSE,塑膠工業,KYG935971054,2013/12/06
1341,富林-KY,TWSE,塑膠工業,KYG3730M1050,2018/12/24
1342,八貫,TWSE,其他業,TW0001342004,2020/11/24
1402,遠東新,TWSE,紡織纖維,TW0001402006,1967/04/14
1409,新纖,TWSE,紡織纖維,TW0001409001,1973/08/31
1410,南染,TWSE,紡織纖維,TW0001410009,1973/10/18
1413,宏洲,TWSE,紡織纖維,TW0001413003,1975/12/23
1414,東和,TWSE,紡織纖維,TW0001414001,1976/02/02
1416,廣豐,TWSE,其他業,TW0001416006,1976/04/20
1417,嘉裕,TWSE,紡織纖維,TW0001417004,1976/12/28
1418,東華,TWSE,紡織纖維,TW0001418002,1977/02/14
1419,新紡,TWSE,紡織纖維,TW0001419000,1977/03/14
1423,利華,TWSE,紡織纖維,TW0001423002,1979/04/02
1432,大魯閣,TWSE,運動休閒,TW0001432003,1982/07/26
1434,福懋,TWSE,紡織纖維,TW0001434009,1985/12/24
1435,中福,TWSE,其他業,TW0001435006,1987/12/28
1436,華友聯,TWSE,建材營造業,TW0001436004,1988/04/11
1437,勤益控,TWSE,其他業,TW0001437002,1988/11/10
1438,三地開發,TWSE,建材營造業,TW0001438000,1988/12/15
1439,雋揚,TWSE,建材營造業,TW0001439008,1989/05/22
1440,南紡,TWSE,紡織纖維,TW0001440006,1989/10/03
1441,大東,TWSE,紡織纖維,TW0001441004,1989/10/27
1442,名軒,TWSE,建材營造業,TW0001442002,1989/11/16
1443,立益物流,TWSE,其他業,TW0001443000,1990/04/21
1444,力麗,TWSE,紡織纖維,TW0001444008,1990/08/08
1445,大宇,TWSE,紡織纖維,TW0001445005,1991/02/05
1446,宏和,TWSE,紡織纖維,TW0001446003,1991/10/15
1447,力鵬,TWSE,紡織纖維,TW0001447001,1992/01/28
1449,佳和,TWSE,紡織纖維,TW0001449007,1992/03/12
1451,年興,TWSE,紡織纖維,TW0001451003,1992/12/21
1452,宏益,TWSE,紡織纖維,TW0001452001,1992/12/28
1453,大將,TWSE,建材營造業,TW0001453009,1993/04/19
1454,台富,TWSE,紡織纖維,TW0001454007,1993/05/07
1455,集盛,TWSE,紡織纖維,TW0001455004,1993/10/07
1456,怡華,TWSE,建材營造業,TW0001456002,1993/12/09
1457,宜進,TWSE,紡織纖維,TW0001457000,1994/10/20
1459,聯發,TWSE,紡織纖維,TW0001459006,1994/10/26
1460,宏遠,TWSE,紡織纖維,TW0001460004,1995/04/28
1463,強盛新,TWSE,紡織纖維,TW0001463008,1996/12/05
1464,得力,TWSE,紡織纖維,TW0001464006,1997/01/18
1465,偉全,TWSE,紡織纖維,TW0001465003,1997/09/08
1466,聚隆,TWSE,紡織纖維,TW0001466001,1998/04/04
1467,南緯,TWSE,紡織纖維,TW0001467009,1998/12/21
1468,昶和,TWSE,紡織纖維,TW0001468007,1999/01/21
1470,大統新創,TWSE,紡織纖維,TW0001470003,1999/05/21
1471,首利,TWSE,電子零組件業,TW0001471001,2000/03/06
1472,三洋實業,TWSE,建材營造業,TW0001472009,2000/09/11
1473,台南,TWSE,紡織纖維,TW0001473007,2000/09/11
1474,弘裕,TWSE,紡織纖維,TW0001474005,2000/10/31
1475,業旺,TWSE,紡織纖維,TW0001475002,2000/10/27
1476,儒鴻,TWSE,紡織纖維,TW0001476000,2001/04/18
1477,聚陽,TWSE,紡織纖維,TW0001477008,2003/01/21
1503,士電,TWSE,電機機械,TW0001503001,1969/12/15
1504,東元,TWSE,電機機械,TW0001504009,1973/11/05
1506,正道,TWSE,電機機械,TW0001506004,1980/08/11
1512,瑞利,TWSE,汽車工業,TW0001512002,1994/01/28
1513,中興電,TWSE,電機機械,TW0001513000,1994/03/08
1514,亞力,TWSE,電機機械,TW0001514008,1994/03/26
1515,力山,TWSE,電機機械,TW0001515005,1995/02/04
1516,川飛,TWSE,其他業,TW0001516003,1995/04/01
1517,利奇,TWSE,電機機械,TW0001517001,1995/11/14
1519,華城,TWSE,電機機械,TW0001519007,1997/04/16
1521,大億,TWSE,汽車工業,TW0001521003,1997/10/06
1522,堤維西,TWSE,汽車工業,TW0001522001,1997/10/06
1524,耿鼎,TWSE,汽車工業,TW0001524007,1998/10/30
1525,江申,TWSE,汽車工業,TW0001525004,1999/05/15
1526,日馳,TWSE,電機機械,TW0001526002,2000/03/27
1527,鑽全,TWSE,電機機械,TW0001527000,2000/06/21
1528,恩德,TWSE,電機機械,TW0001528008,2000/09/11
1529,樂事綠能,TWSE,電機機械,TW0001529006,2000/09/11
1530,亞崴,TWSE,電機機械,TW0001530004,2000/09/11
1531,高林股,TWSE,電機機械,TW0001531002,2000/09/11
1532,勤美,TWSE,電機機械,TW0001532000,2000/09/11
1533,車王電,TWSE,汽車工業,TW0001533008,2001/04/06
1535,中宇,TWSE,電機機械,TW0001535003,2001/09/17
1536,和大,TWSE,汽車工業,TW0001536001,2001/09/17
1537,廣隆,TWSE,電機機械,TW0001537009,2002/01/22
1538,正峰,TWSE,電機機械,TW0001538007,2002/08/26
1539,巨庭,TWSE,電機機械,TW0001539005,2002/10/29
1540,喬福,TWSE,電機機械,TW0001540003,2002/08/26
1541,錩泰,TWSE,電機機械,TW0001541001,2003/03/19
1558,伸興,TWSE,電機機械,TW0001558005,2014/12/23
1560,中砂,TWSE,電機機械,TW0001560001,2005/01/31
1563,巧新,TWSE,汽車工業,TW0001563005,2024/05/13
1568,倉佑,TWSE,汽車工業,TW0001568004,2014/05/14
1582,信錦,TWSE,電子零組件業,TW0001582005,2009/12/17
1583,程泰,TWSE,電機機械,TW0001583003,2008/01/24
1587,吉茂,TWSE,汽車工業,TW0001587004,2018/04/16
1589,永冠-KY,TWSE,電機機械,KYG984291065,2012/04/27
1590,亞德客-KY,TWSE,電機機械,KYG014081064,2010/12/13
1597,直得,TWSE,電機機械,TW0001597003,2020/12/23
1598,岱宇,TWSE,運動休閒,TW0001598001,2016/09/20
1603,華電,TWSE,電器電纜,TW0001603009,1968/06/03
1604,聲寶,TWSE,電器電纜,TW0001604007,1970/12/14
1605,華新,TWSE,電器電纜,TW0001605004,1972/11/03
1608,華榮,TWSE,電器電纜,TW0001608008,1988/07/11
1609,大亞,TWSE,電器電纜,TW0001609006,1988/12/12
1611,中電,TWSE,電器電纜,TW0001611002,1990/01/16
1612,宏泰,TWSE,電器電纜,TW0001612000,1993/05/08
1614,三洋電,TWSE,電器電纜,TW0001614006,1997/09/18
1615,大山,TWSE,電器電纜,TW0001615003,2000/03/30
1616,億泰,TWSE,電器電纜,TW0001616001,2000/09/11
1617,榮星,TWSE,電器電纜,TW0001617009,2000/09/11
1618,合機,TWSE,電器電纜,TW0001618007,2000/09/11
1623,大東電,TWSE,電器電纜,TW0001623007,2026/01/22
1626,艾美特-KY,TWSE,電器電纜,KYG0135T1076,2013/03/21
1702,南僑,TWSE,食品工業,TW0001702009,1973/05/30
1707,葡萄王,TWSE,生技醫療業,TW0001707008,1982/12/20
1708,東鹼,TWSE,化學工業,TW0001708006,1986/06/16
1709,和益,TWSE,化學工業,TW0001709004,1986/07/03
1710,東聯,TWSE,化學工業,TW0001710002,1987/10/21
1711,永光,TWSE,化學工業,TW0001711000,1988/12/27
1712,興農,TWSE,化學工業,TW0001712008,1989/12/14
1713,國化,TWSE,化學工業,TW0001713006,1990/01/31
1714,和桐,TWSE,化學工業,TW0001714004,1991/08/30
1717,長興,TWSE,化學工業,TW0001717007,1994/03/31
1718,中纖,TWSE,化學工業,TW0001718005,1963/12/02
1720,生達,TWSE,生技醫療業,TW0001720001,1995/12/12
1721,三晃,TWSE,化學工業,TW0001721009,1996/05/16
1722,台肥,TWSE,化學工業,TW0001722007,1998/03/24
1723,中碳,TWSE,化學工業,TW0001723005,1998/11/27
1725,元禎,TWSE,化學工業,TW0001725000,2000/09/11
1726,永記,TWSE,化學工業,TW0001726008,2000/09/11
1727,中華化,TWSE,化學工業,TW0001727006,2000/09/11
1730,花仙子,TWSE,化學工業,TW0001730000,2001/09/17
1731,美吾華,TWSE,生技醫療業,TW0001731008,2001/09/17
1732,毛寶,TWSE,化學工業,TW0001732006,2001/09/17
1733,五鼎,TWSE,生技醫療業,TW0001733004,2001/09/17
1734,杏輝,TWSE,生技醫療業,TW0001734002,2002/08/26
1735,日勝化,TWSE,化學工業,TW0001735009,2002/08/26
1736,喬山,TWSE,運動休閒,TW0001736007,2003/01/09
1737,臺鹽,TWSE,食品工業,TW0001737005,2003/11/18
1752,南光,TWSE,生技醫療業,TW0001752004,2022/01/19
1760,寶齡富錦,TWSE,生技醫療業,TW0001760007,2018/01/23
1762,中化生,TWSE,生技醫療業,TW0001762003,2010/12/20
1773,勝一,TWSE,化學工業,TW0001773000,2009/02/27
1776,展宇,TWSE,化學工業,TW0001776003,2016/05/09
1783,和康生,TWSE,生技醫療業,TW0001783009,2013/12/20
1786,科妍,TWSE,生技醫療業,TW0001786002,2013/11/12
1789,神隆,TWSE,生技醫療業,TW0001789006,2011/09/29
1795,美時,TWSE,生技醫療業,TW0001795003,2019/12/16
1802,台玻,TWSE,玻璃陶瓷,TW0001802007,1973/07/20
1805,寶徠,TWSE,建材營造業,TW0001805000,1989/10/20
1806,冠軍,TWSE,玻璃陶瓷,TW0001806008,1992/09/29
1808,潤隆,TWSE,建材營造業,TW0001808004,1994/10/26
1809,中釉,TWSE,玻璃陶瓷,TW0001809002,1996/04/30
1810,和成,TWSE,玻璃陶瓷,TW0001810000,1991/10/14
1817,凱撒衛,TWSE,玻璃陶瓷,TW0001817005,2013/10/24
1903,士紙,TWSE,造紙工業,TW0001903003,1963/12/09
