"Month","v1_1_ReturnPct","v1_5_ReturnPct"
"2024-02","0","0"
"2024-03","0","0"
"2024-04","0","0"
"2024-05","0","0"
"2024-06","0","0"
"2024-07","0","0"
"2024-08","0","0"
"2024-09","0","0"
"2024-10","0","0"
"2024-11","0","0"
"2024-12","-0.6","-0.65"
"2025-01","7.4","6.57"
"2025-02","-2.39","-3.87"
"2025-03","0","0"
"2025-04","0","0"
"2025-05","0","0"
"2025-06","0","0"
"2025-07","0","0"
"2025-08","0.73","0.67"
"2025-09","12.01","12"
"2025-10","13.2","13.19"
"2025-11","-8.4","-8.9"
"2025-12","5.65","5.6"
"2026-01","11.99","11.99"
"2026-02","-0.44","6.51"
