"Month","v1_1_ReturnPct","v1_5_ReturnPct","Winner","DiffPct"
"2024-02","0","0","tie","0"
"2024-03","0","0","tie","0"
"2024-04","0","0","tie","0"
"2024-05","0","0","tie","0"
"2024-06","0","0","tie","0"
"2024-07","0","0","tie","0"
"2024-08","0","0","tie","0"
"2024-09","0","0","tie","0"
"2024-10","0","0","tie","0"
"2024-11","0","0","tie","0"
"2024-12","-0.6","-0.65","v1.1","-0.05"
"2025-01","7.4","6.57","v1.1","-0.83"
"2025-02","-2.39","-3.87","v1.1","-1.48"
"2025-03","0","0","tie","0"
"2025-04","0","0","tie","0"
"2025-05","0","0","tie","0"
"2025-06","0","0","tie","0"
"2025-07","0","0","tie","0"
"2025-08","0.73","0.67","v1.1","-0.06"
"2025-09","12.01","12","v1.1","-0.01"
"2025-10","13.2","13.19","v1.1","-0.01"
"2025-11","-8.4","-8.9","v1.1","-0.5"
"2025-12","5.65","5.6","v1.1","-0.05"
"2026-01","11.99","11.99","tie","0"
"2026-02","-0.44","6.51","v1.5","6.95"
