rsi_period,buy_rsi,sell_rsi,cooldown_bars,trend_mode,sma_fast,sma_slow,trade_count,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,report
14,35,55,0,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c0_tboth.md
14,35,55,0,sma_cross,50,200,6,16.67,-7.59,-9.9,-1.07,reports/scan_tmp/report_2330_p14_b35_s55_c0_tsma_cross.md
14,35,55,0,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c0_tclose_above_slow.md
14,35,55,2,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c2_tboth.md
14,35,55,2,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s55_c2_tsma_cross.md
14,35,55,2,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c2_tclose_above_slow.md
14,35,55,3,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c3_tboth.md
14,35,55,3,sma_cross,50,200,5,20.0,-5.81,-8.16,-0.86,reports/scan_tmp/report_2330_p14_b35_s55_c3_tsma_cross.md
14,35,55,3,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c3_tclose_above_slow.md
14,35,55,5,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c5_tboth.md
14,35,55,5,sma_cross,50,200,3,0.0,-5.28,-5.28,-1.24,reports/scan_tmp/report_2330_p14_b35_s55_c5_tsma_cross.md
14,35,55,5,close_above_slow,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s55_c5_tclose_above_slow.md
14,35,60,0,both,50,200,1,0.0,-2.04,-2.04,-0.77,reports/scan_tmp/report_2330_p14_b35_s60_c0_tboth.md
